effect_id,effect_name,severity
EFF_-6996689167564762064,anxiety,mild
EFF_-8169219161396591029,arthralgia,mild
EFF_-1773210068238192194,constipation,mild
EFF_7695507164032023455,depression,mild
EFF_-2308893967037970819,diarrhea,mild
EFF_-4444454937438416835,dizziness,mild
EFF_-1171133867556584229,edema,mild
EFF_6855491301683480826,fatigue,mild
EFF_-8524541424714175554,headache,mild
EFF_-783509734991871644,hemorrhage,severe
EFF_-4592654219263470957,insomnia,mild
EFF_-2539647620840627860,lethargy,mild
EFF_6307117595668731907,myalgia,mild
EFF_140105298352790514,nausea,mild
EFF_8737276176522557173,nervousness,mild
EFF_-8607358410501445283,pruritus,mild
EFF_6082584130134168250,rash,mild
EFF_9017689768287565076,skin rash,mild
EFF_519265369415021409,tiredness,mild
EFF_3728831452855901485,vomiting,mild
